==================================================
  KENXPROXY Async Validator v4.0
  HTTP: 500 concurrent | SOCKS: 200 concurrent
  Timeout: 4s
==================================================

[*] Loaded: HTTP=133143, SOCKS4=97216, SOCKS5=112526
[*] Total: 342885

[*] Phase 1: HTTP validation...
  [HTTP] 2000/133143 checked, 17 valid
  [HTTP] 4000/133143 checked, 39 valid
  [HTTP] 6000/133143 checked, 54 valid
  [HTTP] 8000/133143 checked, 77 valid
  [HTTP] 10000/133143 checked, 93 valid
  [HTTP] 12000/133143 checked, 111 valid
  [HTTP] 14000/133143 checked, 122 valid
  [HTTP] 16000/133143 checked, 144 valid
  [HTTP] 18000/133143 checked, 168 valid
  [HTTP] 20000/133143 checked, 184 valid
  [HTTP] 22000/133143 checked, 201 valid
  [HTTP] 24000/133143 checked, 218 valid
  [HTTP] 26000/133143 checked, 234 valid
  [HTTP] 28000/133143 checked, 245 valid
  [HTTP] 30000/133143 checked, 259 valid
  [HTTP] 32000/133143 checked, 278 valid
  [HTTP] 34000/133143 checked, 290 valid
  [HTTP] 36000/133143 checked, 304 valid
  [HTTP] 38000/133143 checked, 316 valid
  [HTTP] 40000/133143 checked, 331 valid
  [HTTP] 42000/133143 checked, 349 valid
  [HTTP] 44000/133143 checked, 363 valid
  [HTTP] 46000/133143 checked, 379 valid
  [HTTP] 48000/133143 checked, 394 valid
  [HTTP] 50000/133143 checked, 403 valid
  [HTTP] 52000/133143 checked, 415 valid
  [HTTP] 54000/133143 checked, 428 valid
  [HTTP] 56000/133143 checked, 437 valid
  [HTTP] 58000/133143 checked, 451 valid
  [HTTP] 60000/133143 checked, 464 valid
  [HTTP] 62000/133143 checked, 474 valid
  [HTTP] 64000/133143 checked, 488 valid
  [HTTP] 66000/133143 checked, 496 valid
  [HTTP] 68000/133143 checked, 496 valid
  [HTTP] 70000/133143 checked, 501 valid
  [HTTP] 72000/133143 checked, 507 valid
  [HTTP] 74000/133143 checked, 516 valid
  [HTTP] 76000/133143 checked, 523 valid
  [HTTP] 78000/133143 checked, 529 valid
  [HTTP] 80000/133143 checked, 531 valid
  [HTTP] 82000/133143 checked, 538 valid
  [HTTP] 84000/133143 checked, 544 valid
  [HTTP] 86000/133143 checked, 549 valid
  [HTTP] 88000/133143 checked, 556 valid
  [HTTP] 90000/133143 checked, 563 valid
  [HTTP] 92000/133143 checked, 569 valid
  [HTTP] 94000/133143 checked, 575 valid
  [HTTP] 96000/133143 checked, 590 valid
  [HTTP] 98000/133143 checked, 594 valid
  [HTTP] 100000/133143 checked, 600 valid
  [HTTP] 102000/133143 checked, 603 valid
  [HTTP] 104000/133143 checked, 611 valid
  [HTTP] 106000/133143 checked, 614 valid
  [HTTP] 108000/133143 checked, 623 valid
  [HTTP] 110000/133143 checked, 631 valid
  [HTTP] 112000/133143 checked, 636 valid
  [HTTP] 114000/133143 checked, 652 valid
  [HTTP] 116000/133143 checked, 662 valid
  [HTTP] 118000/133143 checked, 672 valid
  [HTTP] 120000/133143 checked, 683 valid
  [HTTP] 122000/133143 checked, 696 valid
  [HTTP] 124000/133143 checked, 704 valid
  [HTTP] 126000/133143 checked, 713 valid
  [HTTP] 128000/133143 checked, 727 valid
  [HTTP] 130000/133143 checked, 732 valid
  [HTTP] 132000/133143 checked, 741 valid

[*] Phase 2: SOCKS4 validation...
  [SOCKS4] 1000/97216 checked, 0 valid
  [SOCKS4] 2000/97216 checked, 4 valid
  [SOCKS4] 3000/97216 checked, 7 valid
  [SOCKS4] 4000/97216 checked, 11 valid
  [SOCKS4] 5000/97216 checked, 19 valid
  [SOCKS4] 6000/97216 checked, 26 valid
  [SOCKS4] 7000/97216 checked, 28 valid
  [SOCKS4] 8000/97216 checked, 29 valid
  [SOCKS4] 9000/97216 checked, 34 valid
  [SOCKS4] 10000/97216 checked, 35 valid
  [SOCKS4] 11000/97216 checked, 39 valid
  [SOCKS4] 12000/97216 checked, 41 valid
  [SOCKS4] 13000/97216 checked, 42 valid
  [SOCKS4] 14000/97216 checked, 46 valid
  [SOCKS4] 15000/97216 checked, 50 valid
  [SOCKS4] 16000/97216 checked, 52 valid
  [SOCKS4] 17000/97216 checked, 56 valid
  [SOCKS4] 18000/97216 checked, 59 valid
  [SOCKS4] 19000/97216 checked, 62 valid
  [SOCKS4] 20000/97216 checked, 64 valid
  [SOCKS4] 21000/97216 checked, 66 valid
  [SOCKS4] 22000/97216 checked, 71 valid
  [SOCKS4] 23000/97216 checked, 72 valid
  [SOCKS4] 24000/97216 checked, 73 valid
  [SOCKS4] 25000/97216 checked, 75 valid
  [SOCKS4] 26000/97216 checked, 76 valid
  [SOCKS4] 27000/97216 checked, 76 valid
  [SOCKS4] 28000/97216 checked, 77 valid
  [SOCKS4] 29000/97216 checked, 79 valid
  [SOCKS4] 30000/97216 checked, 83 valid
  [SOCKS4] 31000/97216 checked, 86 valid
  [SOCKS4] 32000/97216 checked, 86 valid
  [SOCKS4] 33000/97216 checked, 91 valid
  [SOCKS4] 34000/97216 checked, 93 valid
  [SOCKS4] 35000/97216 checked, 97 valid
  [SOCKS4] 36000/97216 checked, 101 valid
  [SOCKS4] 37000/97216 checked, 104 valid
  [SOCKS4] 38000/97216 checked, 110 valid
  [SOCKS4] 39000/97216 checked, 113 valid
  [SOCKS4] 40000/97216 checked, 115 valid
  [SOCKS4] 41000/97216 checked, 119 valid
  [SOCKS4] 42000/97216 checked, 123 valid
  [SOCKS4] 43000/97216 checked, 124 valid
  [SOCKS4] 44000/97216 checked, 127 valid
  [SOCKS4] 45000/97216 checked, 128 valid
  [SOCKS4] 46000/97216 checked, 133 valid
  [SOCKS4] 47000/97216 checked, 134 valid
  [SOCKS4] 48000/97216 checked, 137 valid
  [SOCKS4] 49000/97216 checked, 139 valid
  [SOCKS4] 50000/97216 checked, 142 valid
  [SOCKS4] 51000/97216 checked, 144 valid
  [SOCKS4] 52000/97216 checked, 147 valid
  [SOCKS4] 53000/97216 checked, 152 valid
  [SOCKS4] 54000/97216 checked, 154 valid
  [SOCKS4] 55000/97216 checked, 157 valid
  [SOCKS4] 56000/97216 checked, 159 valid
  [SOCKS4] 57000/97216 checked, 160 valid
  [SOCKS4] 58000/97216 checked, 163 valid
  [SOCKS4] 59000/97216 checked, 164 valid
  [SOCKS4] 60000/97216 checked, 166 valid
  [SOCKS4] 61000/97216 checked, 169 valid
  [SOCKS4] 62000/97216 checked, 170 valid
  [SOCKS4] 63000/97216 checked, 172 valid
  [SOCKS4] 64000/97216 checked, 174 valid
  [SOCKS4] 65000/97216 checked, 178 valid
  [SOCKS4] 66000/97216 checked, 178 valid
  [SOCKS4] 67000/97216 checked, 181 valid
  [SOCKS4] 68000/97216 checked, 182 valid
  [SOCKS4] 69000/97216 checked, 183 valid
  [SOCKS4] 70000/97216 checked, 183 valid
  [SOCKS4] 71000/97216 checked, 185 valid
  [SOCKS4] 72000/97216 checked, 190 valid
  [SOCKS4] 73000/97216 checked, 192 valid
  [SOCKS4] 74000/97216 checked, 195 valid
  [SOCKS4] 75000/97216 checked, 199 valid
  [SOCKS4] 76000/97216 checked, 201 valid
  [SOCKS4] 77000/97216 checked, 202 valid
  [SOCKS4] 78000/97216 checked, 205 valid
  [SOCKS4] 79000/97216 checked, 206 valid
  [SOCKS4] 80000/97216 checked, 206 valid
  [SOCKS4] 81000/97216 checked, 209 valid
  [SOCKS4] 82000/97216 checked, 211 valid
  [SOCKS4] 83000/97216 checked, 212 valid
  [SOCKS4] 84000/97216 checked, 214 valid
  [SOCKS4] 85000/97216 checked, 216 valid
  [SOCKS4] 86000/97216 checked, 221 valid
  [SOCKS4] 87000/97216 checked, 222 valid
  [SOCKS4] 88000/97216 checked, 226 valid
  [SOCKS4] 89000/97216 checked, 226 valid
  [SOCKS4] 90000/97216 checked, 228 valid
  [SOCKS4] 91000/97216 checked, 228 valid
  [SOCKS4] 92000/97216 checked, 232 valid
  [SOCKS4] 93000/97216 checked, 235 valid
  [SOCKS4] 94000/97216 checked, 238 valid
  [SOCKS4] 95000/97216 checked, 243 valid
  [SOCKS4] 96000/97216 checked, 245 valid
  [SOCKS4] 97000/97216 checked, 245 valid

[*] Phase 3: SOCKS5 validation...
  [SOCKS5] 1000/112526 checked, 4 valid
  [SOCKS5] 2000/112526 checked, 7 valid
  [SOCKS5] 3000/112526 checked, 12 valid
  [SOCKS5] 4000/112526 checked, 17 valid
  [SOCKS5] 5000/112526 checked, 18 valid
  [SOCKS5] 6000/112526 checked, 26 valid
  [SOCKS5] 7000/112526 checked, 27 valid
  [SOCKS5] 8000/112526 checked, 32 valid
  [SOCKS5] 9000/112526 checked, 34 valid
  [SOCKS5] 10000/112526 checked, 37 valid
  [SOCKS5] 11000/112526 checked, 41 valid
  [SOCKS5] 12000/112526 checked, 47 valid
  [SOCKS5] 13000/112526 checked, 52 valid
  [SOCKS5] 14000/112526 checked, 53 valid
  [SOCKS5] 15000/112526 checked, 56 valid
  [SOCKS5] 16000/112526 checked, 60 valid
  [SOCKS5] 17000/112526 checked, 64 valid
